Date,Build,Overall Test Rate,Superlaser_Concentration_Static_Check,Hypermatter_Reactor_Core_Startup_Test,Sublight_Ion_Engines_Sanity_Check,Superlaser_Focal_Lenses_Coordination_Test,Class_3_Hyperdrive_Coordinate_Input_Test,Deflector_Shield_Generator_Stress_Test,Turbolaser_Ion_Cannon_Power_On_Test,Tractor_Beam_Projectors_Response_Test,Exhaust Ports_Control_Test,Kyber_Crystal_Sample_Response_Test
28/08/2026,death_star_iter_139.001,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
27/08/2026,death_star_iter_138.004,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
25/08/2026,death_star_iter_138.003,99%,100%,100%,100%,100%,100%,100%,100%,93%,100%,100%
22/08/2026,death_star_iter_138.002,92%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
21/08/2026,death_star_iter_138.001,98%,100%,100%,100%,100%,100%,100%,100%,76%,100%,100%
20/08/2026,death_star_iter_137.009,90%,100%,100%,100%,100%,100%,100%,100%,70%,100%,100%
19/08/2026,death_star_iter_137.008,73%,n/a,n/a,n/a,100%,100%,100%,100%,65%,n/a,0%
18/08/2026,death_star_iter_137.007,97%,100%,100%,100%,100%,100%,100%,100%,68%,100%,100%
14/08/2026,death_star_iter_137.006,98%,100%,100%,100%,100%,100%,100%,100%,74%,100%,100%
11/8/2026,death_star_iter_137.005,86%,n/a,n/a,n/a,100%,100%,100%,100%,55%,100%,100%
6/8/2026,death_star_iter_137.004,97%,100%,100%,100%,100%,100%,100%,100%,70%,100%,100%
28/07/2026,death_star_iter_137.003,89%,100%,100%,100%,100%,100%,84%,100%,68%,100%,100%
25/07/2026,death_star_iter_137.002,98%,100%,100%,100%,100%,100%,100%,100%,78%,100%,100%
24/07/2026,death_star_iter_137.001,98%,100%,100%,100%,100%,100%,100%,100%,72%,100%,100%
22/07/2026,death_star_iter_136.010,98%,100%,100%,100%,100%,100%,100%,100%,74%,100%,100%
21/07/2026,death_star_iter_136.009,98%,100%,100%,100%,100%,100%,100%,100%,78%,100%,100%
18/07/2026,death_star_iter_136.008,91%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
17/07/2026,death_star_iter_136.006,96%,100%,100%,50%,100%,100%,100%,100%,95%,100%,100%
16/07/2026,death_star_iter_136.005,99%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%
14/07/2026,death_star_iter_136.004,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
11/7/2026,death_star_iter_136.003,92%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
10/7/2026,death_star_iter_136.002,99%,100%,100%,100%,100%,100%,100%,100%,93%,100%,100%
9/7/2026,death_star_iter_136.001,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
8/7/2026,death_star_iter_135.007,92%,100%,100%,100%,100%,100%,100%,100%,97%,n/a,0%
7/7/2026,death_star_iter_135.006,92%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%
4/7/2026,death_star_iter_135.005,92%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
1/7/2026,death_star_iter_135.004,92%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
30/06/2026,death_star_iter_135.003,91%,100%,100%,100%,100%,100%,100%,100%,74%,100%,100%
27/06/2026,death_star_iter_135.002,90%,100%,100%,100%,100%,100%,100%,100%,70%,100%,100%
26/06/2026,death_star_iter_135.001,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
25/06/2026,death_star_iter_134.005,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
24/06/2026,death_star_iter_134.004,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
23/06/2026,death_star_iter_134.003,92%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%
22/06/2026,death_star_iter_134.002,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
19/06/2026,death_star_iter_134.001,99%,100%,100%,100%,100%,100%,100%,100%,93%,100%,100%
18/06/2026,death_star_iter_133.009,99%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%
11/6/2026,death_star_iter_133.008,99%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%
9/6/2026,death_star_iter_133.007,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
5/6/2026,death_star_iter_133.006,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
4/6/2026,death_star_iter_133.005,99%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%
3/6/2026,death_star_iter_133.004,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
30/05/2026,death_star_iter_133.003,98%,100%,100%,100%,100%,100%,100%,100%,72%,100%,100%
29/05/2026,death_star_iter_133.002,81%,n/a,n/a,n/a,100%,100%,100%,100%,10%,100%,100%
28/05/2026,death_star_iter_133.001,82%,n/a,n/a,n/a,100%,100%,100%,100%,10%,100%,100%
27/05/2026,death_star_iter_132.009,99%,n/a,n/a,n/a,100%,100%,100%,100%,89%,100%,100%
26/05/2026,death_star_iter_132.007,98%,97%,n/a,n/a,100%,100%,100%,100%,89%,100%,100%
23/05/2026,death_star_iter_132.006,99%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%
22/05/2026,death_star_iter_132.005,99%,100%,100%,100%,100%,100%,100%,100%,93%,100%,100%
21/05/2026,death_star_iter_132.004,99%,100%,100%,100%,100%,100%,100%,100%,93%,100%,100%
20/05/2026,death_star_iter_132.003,89%,n/a,n/a,n/a,100%,100%,100%,100%,85%,100%,100%
19/05/2026,death_star_iter_132.002,82%,100%,100%,100%,100%,100%,100%,100%,74%,n/a,0%
16/05/2026,death_star_iter_132.001,98%,100%,100%,100%,100%,100%,100%,100%,72%,100%,100%
14/05/2026,death_star_iter_131.009,100%,100%,100%,100%,100%,100%,100%,100%,n/a,100%,100%
13/05/2026,death_star_iter_129.007,97%,100%,100%,100%,100%,100%,100%,100%,68%,100%,100%
12/5/2026,death_star_iter_129.006,87%,n/a,n/a,n/a,100%,100%,100%,100%,65%,100%,100%
9/5/2026,death_star_iter_129.005,97%,100%,100%,100%,100%,100%,100%,100%,68%,100%,100%
8/5/2026,death_star_iter_129.004,97%,100%,100%,100%,100%,100%,100%,100%,68%,100%,100%
7/5/2026,death_star_iter_129.003,90%,100%,100%,100%,100%,100%,100%,100%,68%,100%,100%
6/5/2026,death_star_iter_129.002,94%,100%,100%,50%,100%,100%,100%,100%,68%,100%,100%
1/5/2026,death_star_iter_129.001,52%,0%,n/a,n/a,n/a,0%,n/a,n/a,21%,100%,100%
30/04/2026,death_star_iter_128.002,100%,100%,100%,100%,100%,100%,100%,100%,n/a,100%,100%
29/04/2026,death_star_iter_128.002,90%,n/a,n/a,n/a,100%,100%,100%,100%,n/a,100%,100%
28/04/2026,death_star_iter_125.006,100%,n/a,n/a,n/a,100%,100%,100%,100%,100%,100%,100%
25/04/2026,death_star_iter_125.005,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
23/04/2026,death_star_iter_125.004,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
22/04/2026,death_star_iter_125.003,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
21/04/2026,death_star_iter_125.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18/04/2026,death_star_iter_125.001,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
17/04/2026,death_star_iter_124.009,92%,100%,100%,100%,100%,100%,100%,100%,100%,n/a,0%
10/4/2026,death_star_iter_124.006,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
8/4/2026,death_star_iter_124.005,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
7/4/2026,death_star_iter_124.004,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
4/4/2026,death_star_iter_124.003,99%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%
3/4/2026,death_star_iter_124.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
2/4/2026,death_star_iter_124.001,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
1/4/2026,death_star_iter_123.009,92%,100%,100%,100%,100%,100%,100%,100%,100%,n/a,0%
31/03/2026,death_star_iter_123.008,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
28/03/2026,death_star_iter_123.007,88%,n/a,n/a,n/a,100%,100%,100%,100%,100%,n/a,0%
27/03/2026,death_star_iter_123.006,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
26/03/2026,death_star_iter_123.005,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
24/03/2026,death_star_iter_123.004,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
20/03/2026,death_star_iter_123.003,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19/03/2026,death_star_iter_123.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18/03/2026,death_star_iter_123.001,90%,100%,100%,100%,100%,100%,100%,100%,63%,100%,100%
17/03/2026,death_star_iter_122.007,91%,100%,100%,100%,n/a,100%,100%,100%,100%,100%,100%
14/03/2026,death_star_iter_122.006,98%,100%,100%,100%,100%,100%,100%,100%,74%,100%,100%
12/3/2026,death_star_iter_122.005,93%,100%,100%,100%,100%,100%,100%,100%,97%,5%,100%
11/3/2026,death_star_iter_122.005,93%,100%,100%,100%,100%,100%,100%,100%,97%,5%,100%
7/2/2026,death_star_iter_122.004,93%,100%,100%,100%,100%,100%,100%,100%,100%,5%,100%
6/2/2026,death_star_iter_122.003,93%,100%,100%,100%,100%,100%,100%,100%,100%,5%,100%
5/2/2026,death_star_iter_122.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
4/2/2026,death_star_iter_122.001,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
3/2/2026,death_star_iter_121.008,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
31/01/2026,death_star_iter_121.007,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
29/01/2026,death_star_iter_121.006,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
22/01/2026,death_star_iter_121.005,93%,100%,100%,100%,100%,100%,100%,100%,97%,5%,100%
19/01/2026,death_star_iter_121.004,93%,100%,100%,100%,100%,100%,100%,100%,100%,5%,100%
12/12/2025,death_star_iter_121.003,93%,100%,100%,100%,100%,100%,100%,100%,100%,5%,100%
11/12/2025,death_star_iter_121.002,92%,100%,100%,100%,100%,100%,100%,100%,95%,5%,100%
10/12/2025,death_star_iter_121.001,92%,100%,100%,100%,100%,100%,100%,100%,95%,5%,100%
6/12/2025,death_star_iter_120.008,92%,100%,100%,100%,100%,100%,100%,100%,95%,5%,100%
5/12/2025,death_star_iter_120.007,92%,100%,100%,100%,100%,100%,100%,100%,95%,5%,100%
4/12/2025,death_star_iter_120.006,92%,100%,100%,100%,100%,100%,100%,100%,95%,5%,100%
3/12/2025,death_star_iter_120.005,81%,n/a,n/a,n/a,100%,100%,100%,100%,89%,5%,100%
27/11/2025,death_star_iter_120.004,92%,100%,100%,100%,100%,100%,100%,100%,95%,5%,100%
26/11/2025,death_star_iter_120.003,98%,100%,100%,100%,100%,100%,100%,100%,85%,100%,100%
25/11/2025,death_star_iter_120.002,99%,100%,100%,100%,100%,100%,100%,100%,93%,100%,100%
22/11/2025,death_star_iter_120.001,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
21/11/2025,death_star_iter_119.006,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
20/11/2025,death_star_iter_119.005,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
19/11/2025,death_star_iter_119.004,99%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%
18/11/2025,death_star_iter_119.003,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
15/11/2025,death_star_iter_119.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
13/11/2025,death_star_iter_119.001,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12/11/2025,death_star_iter_118.010,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
11/11/2025,death_star_iter_118.009,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
8/11/2025,death_star_iter_118.008,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
7/11/2025,death_star_iter_118.007,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
6/11/2025,death_star_iter_118.006,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
